N° de la ligne;N° de station;Nom de station;Longitude;Latitude
25B (Retour);21;CROISEMENT MARCHÉ DE GROS;10.224063768982887;36.722780431896076
25B (Retour);22;DEPOT BIR EL KASSAA;10.221983380615711;36.72544974561761
25B (Retour);23;IMPRIMERIE BOUSLAMA;10.21874226629734;36.729967185796454
25B (Retour);24;COLLÉGE MOUROUJ 3;10.216962285339832;36.73413344297663
25B (Retour);25;INSTITUT ENNOUR;10.220953412353992;36.73961896119324
25B (Retour);26;CELLULOSE (SILOS);10.225866213440895;36.7454090141073
25B (Retour);27;CENTRE DES HANDICAPÉS;10.225674100220203;36.74708138787588
25B (Retour);28;ARRÉT JARDIN D'ENFANTS;10.22442390138167;36.7508351631038
25B (Retour);29;CENTRE BEN AROUS;10.22249836474657;36.75345998379853
25B (Retour);30;BNA BEN AROUS;10.22040163166821;36.75617973867877
25B (Retour);31;KIOSQUE MOBIL BEN AROUS;10.21878669038415;36.75702957934746
25B (Retour);32;SONED;10.210255023557693;36.76529492194135
25B (Retour);33;SIDI FATHALLAH1;10.207435078918934;36.76903567002998
25B (Retour);34;PROTECTION CIVILE;10.203722901642323;36.77192332988446
25B (Retour);35;DJEBEL JELLOUD;10.202564187347889;36.773178052948474
25B (Retour);36;EL AFRANE;10.196620915085077;36.77966739885177
25B (Retour);37;CENTRE DE COORDINATION OUARDIA;10.195623133331537;36.78060458853434
25B (Retour);38;DUBOSVILLE;10.191749520599842;36.78398844608775
25B (Retour);39;BAB ALIOUA L10-25(A-B-C-D);10.184492217376828;36.788884188333405
25B (Retour);40;MONCEF BEY RETOUR;10.186125800046284;36.792532185892085
25B (Retour);41;AVENUE CARTHAGE;10.182264223694801;36.79192420957057
25D;1;AVENUE CARTHAGE;10.182264223694801;36.79192420957057
25D;2;DUBOSVILLE;10.191749520599842;36.78398844608775
25D;3;CENTRE DE COORDINATION OUARDIA;10.195623133331537;36.78060458853434
25D;4;EL AFRANE;10.196620915085077;36.77966739885177
25D;5;DJEBEL JELLOUD;10.202564187347889;36.773178052948474
25D;6;PROTECTION CIVILE;10.203722901642323;36.77192332988446
25D;7;SIDI FATHALLAH1;10.207435078918934;36.76903567002998
25D;8;SIDI FATHALLAH2;10.209237523376942;36.76676671813417
25D;9;SONED;10.210255023557693;36.76529492194135
25D;10;KIOSQUE MOBIL BEN AROUS;10.21878669038415;36.75702957934746
25D;11;CENTRE BEN AROUS;10.22249836474657;36.75345998379853
25D;12;MUNICIPALITÉ BEN AROUS;10.225330777466297;36.748319323971195
25D;13;CENTRE DES HANDICAPÉS;10.225674100220203;36.74708138787588
25D;14;CELLULOSE (SILOS);10.225866213440895;36.7454090141073
25D;15;INSTITUT ENNOUR;10.220953412353992;36.73961896119324
25D;16;COLLÉGE MOUROUJ 3;10.216962285339832;36.73413344297663
25D;17;IMPRIMERIE BOUSLAMA;10.21874226629734;36.729967185796454
25D;18;DEPOT BIR EL KASSAA;10.221983380615711;36.72544974561761
25D;19;MOUROUJ 3;10.223093312233686;36.72045515373588
25D;20;STEG NASSEN;10.224288068711758;36.715405140800364
25D;21;CITÉ BELLILE;10.227562375366688;36.709693191027235
25D;22;NAASSEN 1;10.232862420380116;36.703104516098776
25D;23;NAASSEN 2;10.231980853714049;36.701626845145334
25D;24;CITÉ MEKKI;10.228367918170989;36.69564181421935
25D;25;FERME AMOR TOUIL;10.225308313965797;36.690712395917174
25D;26;CITÉ BOUNAOUARA;10.221706714946777;36.68429334829161
25D;27;DOUAR HOUCH;10.21928264759481;36.680172199353606
25D;28;TEXTILE;10.216737859882414;36.675801642978335
25D;29;CAFÉ REBAI;10.214715474285185;36.67244998999548
25D;30;HUILERIE SADIRA;10.205638753250241;36.66142536578282
25D;31;FERME VIGNOBLE;10.20231792703271;36.65746085766898
25D;32;OUED MELIANE;10.199871752411127;36.65342412629002
25D;33;CITÉ BRAIEK;10.198337528854609;36.648397282204286
25D;34;KHLÉDIA GARE;10.194775806739926;36.64598387429001
25D;35;KHLÉDIA;10.192163460887969;36.64386465726668
25D;36;STEG KHLIDIA;10.198884699493647;36.63371943020876
25D;37;ELKHAROUBA;10.210235808044672;36.62615989123889
25D;38;KCHACHMA;10.220930948853493;36.61848080273883
25D;39;KONGEL;10.228303167968988;36.63187696855338
25D;40;CITÉ SALEM;10.229966514743865;36.63840458779005
25D (Retour);1;CITÉ SALEM;10.229966514743865;36.63840458779005
25D (Retour);2;NATACHA;10.22089515812695;36.638576196056114
25D (Retour);3;L'ANDORRE;10.214945264160633;36.637737689486315
25D (Retour);4;AV BAYREM ETTOUNSI 2;10.21275658160448;36.63878799032819
25D (Retour);5;EP BIR JEDDID;10.209559388458729;36.640836896658826
25D (Retour);6;BIR JEDDID 2;10.203390810638666;36.638411481721505
25D (Retour);7;BIR JEDDID 1;10.201357947662473;36.638335144007236
25D (Retour);8;STEG KHLIDIA;10.198884699493647;36.63371943020876
25D (Retour);9;KHLÉDIA;10.192163460887969;36.64386465726668
25D (Retour);10;KHLÉDIA GARE;10.194775806739926;36.64598387429001
25D (Retour);11;CITÉ BRAIEK;10.198337528854609;36.648397282204286
25D (Retour);12;OUED MELIANE;10.199871752411127;36.65342412629002
25D (Retour);13;FERME VIGNOBLE;10.20231792703271;36.65746085766898
25D (Retour);14;HUILERIE SADIRA;10.205638753250241;36.66142536578282
25D (Retour);15;CAFÉ REBAI;10.214715474285185;36.67244998999548
25D (Retour);16;TEXTILE;10.216737859882414;36.675801642978335
25D (Retour);17;DOUAR HOUCH;10.21928264759481;36.680172199353606
25D (Retour);18;CITÉ BOUNAOUARA;10.221706714946777;36.68429334829161
25D (Retour);19;FERME AMOR TOUIL;10.225308313965797;36.690712395917174
25D (Retour);20;CITÉ MEKKI;10.228367918170989;36.69564181421935
25D (Retour);21;NAASSEN 2;10.231980853714049;36.701626845145334
25D (Retour);22;NAASSEN 1;10.232862420380116;36.703104516098776
25D (Retour);23;CITÉ BELLILE;10.227562375366688;36.709693191027235
25D (Retour);24;STEG NASSEN;10.224288068711758;36.715405140800364
25D (Retour);25;MOUROUJ 3;10.223093312233686;36.72045515373588
25D (Retour);26;DEPOT BIR EL KASSAA;10.221983380615711;36.72544974561761
25D (Retour);27;IMPRIMERIE BOUSLAMA;10.21874226629734;36.729967185796454
25D (Retour);28;COLLÉGE MOUROUJ 3;10.216962285339832;36.73413344297663
25D (Retour);29;INSTITUT ENNOUR;10.220953412353992;36.73961896119324
25D (Retour);30;CELLULOSE (SILOS);10.225866213440895;36.7454090141073
25D (Retour);31;CENTRE DES HANDICAPÉS;10.225674100220203;36.74708138787588
25D (Retour);32;ARRÉT JARDIN D'ENFANTS;10.22442390138167;36.7508351631038
25D (Retour);33;CENTRE BEN AROUS;10.22249836474657;36.75345998379853
25D (Retour);34;BNA BEN AROUS;10.22040163166821;36.75617973867877
25D (Retour);35;KIOSQUE MOBIL BEN AROUS;10.21878669038415;36.75702957934746
25D (Retour);36;SONED;10.210255023557693;36.76529492194135
25D (Retour);37;SIDI FATHALLAH1;10.207435078918934;36.76903567002998
25D (Retour);38;PROTECTION CIVILE;10.203722901642323;36.77192332988446
25D (Retour);39;DJEBEL JELLOUD;10.202564187347889;36.773178052948474
25D (Retour);40;EL AFRANE;10.196620915085077;36.77966739885177
25D (Retour);41;CENTRE DE COORDINATION OUARDIA;10.195623133331537;36.78060458853434
25D (Retour);42;DUBOSVILLE;10.191749520599842;36.78398844608775
25D (Retour);43;BAB ALIOUA L10-25(A-B-C-D);10.184492217376828;36.788884188333405
25D (Retour);44;MONCEF BEY RETOUR;10.186125800046284;36.792532185892085
25D (Retour);45;AVENUE CARTHAGE;10.182264223694801;36.79192420957057
25C;1;AVENUE CARTHAGE;10.182264223694801;36.79192420957057
25C;2;DUBOSVILLE;10.191749520599842;36.78398844608775
25C;3;CENTRE DE COORDINATION OUARDIA;10.195623133331537;36.78060458853434
25C;4;EL AFRANE;10.196620915085077;36.77966739885177
25C;5;DJEBEL JELLOUD;10.202564187347889;36.773178052948474
25C;6;PROTECTION CIVILE;10.203722901642323;36.77192332988446
25C;7;SIDI FATHALLAH1;10.207435078918934;36.76903567002998
25C;8;SIDI FATHALLAH2;10.209237523376942;36.76676671813417
25C;9;SONED;10.210255023557693;36.76529492194135
25C;10;KIOSQUE MOBIL BEN AROUS;10.21878669038415;36.75702957934746
25C;11;CENTRE BEN AROUS;10.22249836474657;36.75345998379853
25C;12;MUNICIPALITÉ BEN AROUS;10.225330777466297;36.748319323971195
25C;13;CENTRE DES HANDICAPÉS;10.225674100220203;36.74708138787588
25C;14;CELLULOSE (SILOS);10.225866213440895;36.7454090141073
25C;15;INSTITUT ENNOUR;10.220953412353992;36.73961896119324
25C;16;COLLÉGE MOUROUJ 3;10.216962285339832;36.73413344297663
25C;17;IMPRIMERIE BOUSLAMA;10.21874226629734;36.729967185796454
25C;18;DEPOT BIR EL KASSAA;10.221983380615711;36.72544974561761
25C;19;MOUROUJ 3;10.223093312233686;36.72045515373588
25C;20;STEG NASSEN;10.224288068711758;36.715405140800364
25C;21;CITÉ BELLILE;10.227562375366688;36.709693191027235
25C;22;NAASSEN 1;10.232862420380116;36.703104516098776
25C (Retour);1;NAASSEN 1;10.232862420380116;36.703104516098776
25C (Retour);2;CITÉ BELLILE;10.227562375366688;36.709693191027235
25C (Retour);3;STEG NASSEN;10.224288068711758;36.715405140800364
25C (Retour);4;MOUROUJ 3;10.223093312233686;36.72045515373588
25C (Retour);5;DEPOT BIR EL KASSAA;10.221983380615711;36.72544974561761
25C (Retour);6;IMPRIMERIE BOUSLAMA;10.21874226629734;36.729967185796454
25C (Retour);7;COLLÉGE MOUROUJ 3;10.216962285339832;36.73413344297663
25C (Retour);8;INSTITUT ENNOUR;10.220953412353992;36.73961896119324
25C (Retour);9;CELLULOSE (SILOS);10.225866213440895;36.7454090141073
25C (Retour);10;CENTRE DES HANDICAPÉS;10.225674100220203;36.74708138787588
25C (Retour);11;ARRÉT JARDIN D'ENFANTS;10.22442390138167;36.7508351631038
25C (Retour);12;CENTRE BEN AROUS;10.22249836474657;36.75345998379853
25C (Retour);13;BNA BEN AROUS;10.22040163166821;36.75617973867877
