gov_name_f,gov_name_a,gov_id,Nom_du_site,Nom_monument,Dtae,Latitude,Longitude,,
Tunis,تونس,11,مدينة تونس,قشلة سيدي عامر 28 نهج سيدي علي عزوز ,9/24/2001,"36°47'49.52""N","10°10'24.21""E",,
Tunis,تونس,11,مدينة تونس,قصر خير الدين باشا  نهج التريبونال ,19/10/1992,"36°48'5.44""N","10°10'6.69""E",,
Tunis,تونس,11,مدينة تونس,قصر صاحب الطابع ساحة الحلفاوين ,19/10/1992,"36°48'28.50""N","10°10'20.69""E",,
Tunis,تونس,11,مدينة تونس,مدرسة الباشا,25/01/1922,"36°48'8.80""N","10° 9'59.70""E",,
Tunis,تونس,11,مدينة تونس,مدرسة الجامع الجديد,25/01/1922,"36°47'41.07""N","10°10'26.44""E",,
Tunis,تونس,11,مدينة تونس,مدرسة النخلة  نهج  الكتبية ,19/10/1992,"36°47'57.82""N","10°10'24.47""E",,
Tunis,تونس,11,مدينة تونس,مدرسة جامع صاحب الطابع,25/01/1922,"36°48'27.80""N","10° 9'59.76""E",,
Tunis,تونس,11,مدينة تونس,مركز البريد و البرق و الهاتف ,19/10/1992,"36°47'48.73""N","10°10'41.34""E",,
Tunis,تونس,11,مدينة تونس,مسجد العريش نهج سيدي محرز,19/10/1992,"36°48'15.16""N","10°10'9.63""E",,
Tunis,تونس,11,مدينة تونس,مسجد الفال نهج العزافية ,19/10/1992,"36°47'53.53""N","10°10'14.81""E",,
Tunis,تونس,11,مدينة تونس,مسجد القبة,16/11/1928,"36°47'41.97""N","10°10'19.98""E",,
Tunis,تونس,11,مدينة تونس,مسجد المدرسة السليمانية,13/03/1912,"36°47'48.10""N","10°10'19.54""E",,
Tunis,تونس,11,مدينة تونس,مسجد بن موسى نهج السيدة عجولة ,19/10/1992,"36°47'58.01""N","10°10'11.70""E",,
Tunis,تونس,11,مدينة تونس,مسجد سيدي عامر,19/10/1992,"36°47'51.90""N","10°10'20.10""E",,
Tunis,تونس,11,مدينة تونس,مسجد سيدي منصور نهج النجدة ,19/10/1992,"36°47'23.95""N","10°10'33.64""E",,
Tunis,تونس,11,مدينة تونس,معهد الموسيقى (الكنسارفاتوار) نهج زرقون ,18/05/1999,"36°48'1.71""N","10°10'27.35""E",,
Tunis,تونس,11,مدينة تونس,مقر المحكمة الادارية سابقا,15/01/2001,"36°48'2.99""N","10°10'41.18""E",,
Tunis,تونس,11,مدينة تونس,مقر المعهد الثانوي بنهج الباشا,15/01/2001,"36°48'8.80""N","10° 9'59.70""E",,
Tunis,تونس,11,مدينة تونس,مقر قصر العدالة,15/01/2001,"36°47'59.51""N","10° 9'57.00""E",,
Tunis,تونس,11,مدينة تونس,ميضاة السلطان,25/01/1922,"36°47'49.23""N","10°10'15.77""E",,
Tunis,تونس,11,مدينة تونس,واجهة عمارة 40 نهج ام كلثوم ,01/09/2000,"36°48'11.28""N","10° 7'25.81""E",,
Tunis,تونس,11,مدينة تونس,واجهة عمارة ازرم 53 شارع قرطاج ,01/09/2000,"36°48'52.59""N","10° 8'13.99""E",,
Tunis,تونس,11,مدينة تونس,واجهة عمارة ديزاني 114 نهج يوغسلافيا,01/09/2000,"36°47'55.80""N","10°11'11.49""E",,
Tunis,تونس,11,مدينة تونس,واجهة عمارة سكنية 18 نهج الملاحة ,01/09/2000,"36°48'6.62""N","10°10'40.17""E",,
Tunis,تونس,11,مدينة تونس ,دار الجويني 3 نهج بئر الاحجار ,30/07/2002,"36°47'52.70""N","10°10'14.36""E",,
Tunis,تونس,11,تونس البلفدير ,الجزء القديم لبناية معهد باستور 13 ساحة باستور,30/07/2002,"36°49'22.07""N","10°10'43.55""E",,
Tunis,تونس,11,مدينة تونس ,برج فليفل نهج الرابطة ,31/08/1999,"36°47'59.76""N","10° 9'27.31""E",,
Tunis,تونس,11,مدينة تونس ,مسجد سيدي عامر  نهج سيدي علي عزوز ,19/10/1992,"36°47'50.62""N","10°10'24.73""E",,
Tunis,تونس,11,مدينة تونس,الواجهة الامامية للبناية النيوكلاسيكية، نهج سيدي عياد، باب الجديد  ,13/12/2010,"36°47'35.12""N","10°10'14.07""E",,
Tunis,تونس,11,مونفلوري,مسالخ بلدية تونس,13/12/2010,"36°47'1.19""N","10°10'45.33""E",,
Tunis,تونس,11,مدينة تونس,دار ابن ابي الضياف,13/12/2010,"36°48'28.58""N","10° 6'16.69""E",,
Tunis,تونس,11,مدينة المرسى,قصر خير الدين والمنطقة المجاورة له على مدى 200م,04/07/2016,"36°52'51.45""N","10°19'46.85""E",,
Tunis,تونس,11,مدينة المرسى,قصر احمد باي,04/07/2016,"36°52'51.45""N","10°19'46.85""E",,
Tunis,تونس,11,مدينة تونس,برج زوارة والمنطقة المحيطة به 200م، باب سعدون,04/07/2016,"36°48'24.33""N","10° 9'12.07""E",,
Tunis,تونس,11,مدينة تونس,باب سعدون والمنطقة المجاورة له 200م,04/07/2016,"36°48'30.93""N","10° 9'32.05""E",,
Ariana,أريانة,12,ابو فهر ,الصهاريج الحفصية ,13/03/1912,36° 50' 52° N,10° 11' 19°E,,
Ariana,أريانة,12,سكرة ,الجزء التحت المائي ارضي من الحنايا ,06/01/1901,36° 51' 43°N,10° 15' 01°E,,
Ariana,أريانة,12,سكرة ,الحنايا الرومانية ,06/01/1901,36° 51' 43°N,10° 15' 01° E,,
Ariana,أريانة,12,سيدي عبيد ,القنطرة الاندلسية ,16/11/1928,36° 59′ 3 °N,10° 03' 41°E,,
Ben Arous,بن عروس,13,المحمدية,الحنايا الرومانية,07/12/1892,"36°40'32.46""N","10° 9'12.73""E",,
Ben Arous,بن عروس,13,أوذنة,البئر الروماني,07/12/1892,"36°36'27.56""N","10°10'19.95""E",,
Ben Arous,بن عروس,13,أوذنة,الحمام الروماني,08/05/1895,"36°36'22.17""N","10°10'32.54""E",,
Ben Arous,بن عروس,13,أوذنة,الصهاريج الرومانية,07/12/1892,"36°36'13.32""N","10°10'28.19""E",,
Ben Arous,بن عروس,13,أوذنة,القنطرة الرومانية ذات الآقواس الثلاثة,07/12/1892,"36°36'7.41""N","10° 9'53.82""E",,
Ben Arous,بن عروس,13,أوذنة,الكنيسة المسيحية,08/05/1895,"36°36'27.53""N","10°10'19.93""E",,
Ben Arous,بن عروس,13,أوذنة,المسرح الآثري,08/05/1895,"36°36'30.99""N","10°10'37.90""E",,
Ben Arous,بن عروس,13,أوذنة,المعبد الروماني,08/05/1895,"36°36'18.15""N","10°10'20.45""E",,
Ben Arous,بن عروس,13,أوذنة,المعلم الموجود غربي المعبد,08/05/1895,"36°36'11.69""N","10°10'20.44""E",,
Ben Arous,بن عروس,13,أوذنة,المنزل الموجود شمال المدرج,08/01/1920,"36°36'36.26""N","10°10'4.00""E",,
Ben Arous,بن عروس,13,أوذنة,أثار قوس النصر,08/05/1895,"36°36'23.18""N","10°10'3.91""E",,
