OBJECTID_1;OBJECTID;Code_Fiche;nb_annee;Code_Ligne;Pk;libelle;code_famil;code_sous_;Code_immob;Date_Aquis;Date_MS;Amrt_Cumul;Montant_br;Date_affec;Dt_Cession;emplacemen;nat_dos;dossier;Zone;direction;etat_resea;inventoria;PK_PN;Code_PN;Etat;X;Y;Code_Categ;Code_mere;Unite_d_af;Caracteris;Detail_emp
155;1179;16157;20;TA;4,36;PASSAGE A NIVEAU PK 4+360 SECTION  C024 LIGNE TA double voie;22251110;22251110;251020004;1988-01-01T00:00:00.000;1988-01-01T00:00:00.000;7913.812;7913.812;;;C;11;131;2;0;E;1;4.36;P 1150;Nouveau;10.1489707222;36.8007886156; ; ;0; ;0
156;652;18977;20;6;104,04;PN PK 104+040 , L 6;22251110;22251110;251800652;2008-01-01T00:00:00.000;2008-01-01T00:00:00.000;3776.344;9440.839;;;C;11;527;4;0;E;1;104.04;P 1154;Nouveau;9.42408792533;36.3772793378; ; ;0; ;0
157;549;17180;1;6;94,79;PASSAGE A NIVEAU PK 94+790 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020406;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;94.79;P 1162;Nouveau;9.52358676612;36.3729583161; ; ;0; ;0
158;538;17089;1;6;81,06;PASSAGE A NIVEAU PK 81+060 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020395;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;81.06;P 1163;Nouveau;9.67228987724;36.3562443131; ; ;0; ;0
159;213;16869;1;5;65,176;PASSAGE A NIVEAU PK 65+176 SECTION  C029 LIGNE 5 Double Voie;22251110;22251110;251020055;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;65.176;P 1169;Nouveau;10.5249657687;36.4002027369; ; ;0; ;0
160;499;16807;1;6;15,106;PASSAGE A NIVEAU PK 15+106 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020072;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;15.106;P 1181;Nouveau;10.199429283;36.6515257639; ; ;0; ;0
161;509;16817;1;6;22,85;PASSAGE A NIVEAU PK 22+850 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020082;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;22.85;P 1186;Nouveau;10.1302602406;36.6123667993; ; ;0; ;0
162;0;0;0;6; ; ;0;0;0;1899-12-30T00:00:00.000;1899-12-30T00:00:00.000;0;0;1899-12-30T00:00:00.000;1899-12-30T00:00:00.000; ;0;0;0;0; ;0;5.54;P 1197;Ancien;10.2162716527;36.759441922; ; ;0; ;0
163;0;0;0;6; ; ;0;0;0;1899-12-30T00:00:00.000;1899-12-30T00:00:00.000;0;0;1899-12-30T00:00:00.000;1899-12-30T00:00:00.000; ;0;0;0;0; ;0;6.112;P 1199;Ancien;10.2213243749;36.7546717854; ; ;0; ;0
164;0;0;0;6; ; ;0;0;0;1899-12-30T00:00:00.000;1899-12-30T00:00:00.000;0;0;1899-12-30T00:00:00.000;1899-12-30T00:00:00.000; ;0;0;0;0; ;0;6.563;P 1200;Ancien;10.2242730965;36.751366356; ; ;0; ;0
165;0;0;0;6; ; ;0;0;0;1899-12-30T00:00:00.000;1899-12-30T00:00:00.000;0;0;1899-12-30T00:00:00.000;1899-12-30T00:00:00.000; ;0;0;0;0; ;0;7.407;P 1202;Ancien;10.227232895;36.7442112649; ; ;0; ;0
166;0;0;0;6; ; ;0;0;0;1899-12-30T00:00:00.000;1899-12-30T00:00:00.000;0;0;1899-12-30T00:00:00.000;1899-12-30T00:00:00.000; ;0;0;0;0; ;0;8.68;P 1204;Ancien;10.2316140319;36.7334979433; ; ;0; ;0
