FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,RTE_,RTE_ID,RTE_MAN_,RTE_MAN_ID,RTE_NOM,RTE_TYP,long_piste
"0","0","0","0",1429.68214,"0","0","0","0",,P,"1"
"0","0","0","0",297.61839,"0","0","0","0",,P,"0"
"0","0","0","0",69.06628,"0","0","0","0",,P,"0"
"0","0","0","0",382.93019,"0","0","0","0",,P,"0"
"0","0","0","0",228.14497,"0","0","0","0",,P,"0"
"0","0","0","0",209.28386,"0","0","0","0",,P,"0"
"0","0","0","0",300.78390,"0","0","0","0",,P,"0"
"0","0","0","0",488.83262,"0","0","0","0",,P,"0"
"0","0","0","0",728.88220,"0","0","0","0",,P,"1"
"0","0","0","0",277.97370,"0","0","0","0",,P,"0"
"0","0","0","0",79.23267,"0","0","0","0",,P,"0"
"0","0","0","0",178.79544,"0","0","0","0",,P,"0"
"0","0","0","0",573.90498,"0","0","0","0",,P,"1"
"0","0","0","0",259.75051,"0","0","0","0",,P,"0"
"0","0","0","0",254.23576,"0","0","0","0",,P,"0"
"0","0","0","0",355.45720,"0","0","0","0",,P,"0"
"0","0","0","0",156.82438,"0","0","0","0",,P,"0"
"0","0","0","0",215.60516,"0","0","0","0",,P,"0"
"0","0","0","0",175.63774,"0","0","0","0",,P,"0"
"0","0","0","0",1649.73815,"0","0","0","0",,P,"2"
"0","0","0","0",410.63300,"0","0","0","0",,P,"0"
