"Code","Nom","Adresse","Gouvernorat","Délégation"
" 187","XXX","PLACE DE L'INDEPENDANCE MEJEZ EL BAB","BEJA","MEJEZ EL BAB"
"2458","XXX","AVENUE DE L'ENVIRONNEMENT","BEJA","MEJEZ EL BAB"
" 162","XXX","ROUTE DE TABARKA NEFZA","BEJA","NEFZA"
" 167","XXX","3, AVENUE HABIB BOURGUIBA NEFZA","BEJA","NEFZA"
"1813","XXX","AVENUE HABIB BOURGUIBA","BEJA","NEFZA"
"2056","XXX","IMADAT OUECHTATA","BEJA","NEFZA"
" 164","XXX","AVENUE HABIB BOURGUIBA TEBOURSOUK","BEJA","TEBOURSOUK"
" 166","XXX","47,AVENUE HABIB BOURGUIBA TEBOURSOUK","BEJA","TEBOURSOUK"
" 178","XXX","ROUTE DU KEF AVENUE 7 NOVEMBRE PRES DU STADE MUNICIPAL TESTOUR","BEJA","TESTOUR"
" 179","XXX","SUR LA ROUTE DU KEF TESTOUR","BEJA","TESTOUR"
"1893","XXX","ROUTE NATIONALE N°5 KM 70 - IMADAT SLOUGUIA","BEJA","TESTOUR"
"2110","XXX","LOT 234 - IMADAT OUED EZZARGA - TESTOUR - BEJA","BEJA","TESTOUR"
" 180","XXX","THIBAR","BEJA","THIBAR"
" 193","XXX","44 AVENUE HABIB BOURGUIBA","BEN AROUS","BEN AROUS"
" 196","XXX","ANGLE RUE AMOR IBN EL KHATTAB ET AVENUE DE LA REPUBLIQUE","BEN AROUS","BEN AROUS"
" 199","XXX","AVENUE HABIB THAMEUR","BEN AROUS","BEN AROUS"
" 201","XXX","RUE RABAT","BEN AROUS","BEN AROUS"
" 231","XXX","RUE 1er MAI","BEN AROUS","BEN AROUS"
" 245","XXX","avenue farhat hached n°9","BEN AROUS","BEN AROUS"
" 251","XXX","53 BIS AVENUE DE FRANCE BEN AROUS","BEN AROUS","BEN AROUS"
" 262","XXX","26 AVENUE HABIB BOURGUIBA","BEN AROUS","BEN AROUS"
" 266","XXX","8 BIS AVENUE HABIB BOURGUIBA","BEN AROUS","BEN AROUS"
" 267","XXX","20 RUE DE PARIS","BEN AROUS","BEN AROUS"
" 210","XXX","ROUTE MORNAG BOUMHEL","BEN AROUS","BOUMHEL BASSATINE"
" 261","XXX","av habib thameur -boumhel bassatine- ben arous","BEN AROUS","BOUMHEL BASSATINE"
" 263","XXX","CITE BOUMHEL MC39 BOUMHEL","BEN AROUS","BOUMHEL BASSATINE"
"1652","XXX","COMPLEXE SIRINE - RUE DE PARIS - BOUMHEL EL BASSATINE- BEN AROUS","BEN AROUS","BOUMHEL BASSATINE"
"2029","XXX","02, avenue de l'environnement- cité ennassim2 n2- boumhel bassatine- ben arous","BEN AROUS","BOUMHEL BASSATINE"
