ligne ;horaires (du Lundi à samedi);Sens ;horaires (Dimanche);sens ;saison;;;;;;;;
54;10:30;aller;15:50;aller;hiver;;;;;;;;
54;11:30;aller;17:20;aller;hiver;;;;;;;;
54;12:00;aller;18:50;aller;hiver;;;;;;;;
54;13:00;aller;07:25;retour;hiver;;;;;;;;
54;13:40;aller;08:55;retour;hiver;;;;;;;;
54;14:20;aller;10:25;retour;hiver;;;;;;;;
54;15:20;aller;12:00;retour;hiver;;;;;;;;
54;16:20;aller;13:30;retour;hiver;;;;;;;;
54;17:00;aller;15:05;retour;hiver;;;;;;;;
54;18:00;aller;16:35;retour;hiver;;;;;;;;
54;05:00;retour;18:05;retour;hiver;;;;;;;;
54;05:40;retour;;;hiver;;;;;;;;
54;06:20;retour;;;hiver;;;;;;;;
54;07:00;retour;;;hiver;;;;;;;;
54;07:40;retour;;;hiver;;;;;;;;
54;08:20;retour;;;hiver;;;;;;;;
54;09:20;retour;;;hiver;;;;;;;;
54;10:20;retour;;;hiver;;;;;;;;
54;11:00;retour;;;hiver;;;;;;;;
54;12:15;retour;;;hiver;;;;;;;;
54;13:10;retour;;;hiver;;;;;;;;
54;14:10;retour;;;hiver;;;;;;;;
54;14:50;retour;;;hiver;;;;;;;;
54;15:30;retour;;;hiver;;;;;;;;
54;16:30;retour;;;hiver;;;;;;;;
54;17:20;retour;;;hiver;;;;;;;;
54A( Cité Chaker vers Cebalet Echeikh);05:20;aller;06:00;aller;hiver;;;;;;;;
54A;06:10;aller;07:00;aller;hiver;;;;;;;;
54A;06:50;aller;08:00;aller;hiver;;;;;;;;
54A;07:10;aller;09:00;aller;hiver;;;;;;;;
54A;07:40;aller;10:00;aller;hiver;;;;;;;;
54A;08:40;aller;11:00;aller;hiver;;;;;;;;
54A;09:10;aller;12:00;aller;hiver;;;;;;;;
54A;10:10;aller;13:00;aller;hiver;;;;;;;;
54A;10:50;aller;14:00;aller;hiver;;;;;;;;
54A;11:30;aller;15:00;aller;hiver;;;;;;;;
54A;12:10;aller;16:00;aller;hiver;;;;;;;;
54A;13:25;aller;17:00;aller;hiver;;;;;;;;
54A;13:50;aller;18:00;aller;hiver;;;;;;;;
54A;14:15;aller;19:00;aller;hiver;;;;;;;;
54A;14:45;aller;05:00;retour;hiver;;;;;;;;
54A;15:10;aller;06:00;retour;hiver;;;;;;;;
54A;16:00;aller;07:00;retour;hiver;;;;;;;;
54A;16:45;aller;08:00;retour;hiver;;;;;;;;
54A;17:30;aller;09:00;retour;hiver;;;;;;;;
54A;17:45;aller;10:00;retour;hiver;;;;;;;;
54A;18:00;aller;11:00;retour;hiver;;;;;;;;
54A;19:00;aller;12:00;retour;hiver;;;;;;;;
54A;20:00;aller;13:00;retour;hiver;;;;;;;;
54A;04:50;retour;14:00;retour;hiver;;;;;;;;
54A;05:50;retour;15:00;retour;hiver;;;;;;;;
54A;06:05;retour;16:00;retour;hiver;;;;;;;;
54A;06:20;retour;17:00;retour;hiver;;;;;;;;
54A;06:50;retour;18:00;retour;hiver;;;;;;;;
54A;07:20;retour;;;hiver;;;;;;;;
54A;07:30;retour;;;hiver;;;;;;;;
54A;07:40;retour;;;hiver;;;;;;;;
54A;08:40;retour;;;hiver;;;;;;;;
54A;09:10;retour;;;hiver;;;;;;;;
54A;09:40;retour;;;hiver;;;;;;;;
54A;10:20;retour;;;hiver;;;;;;;;
54A;11:00;retour;;;hiver;;;;;;;;
54A;12:00;retour;;;hiver;;;;;;;;
54A;12:40;retour;;;hiver;;;;;;;;
54A;13:10;retour;;;hiver;;;;;;;;
54A;14:55;retour;;;hiver;;;;;;;;
54A;15:20;retour;;;hiver;;;;;;;;
54A;15:45;retour;;;hiver;;;;;;;;
54A;16:15;retour;;;hiver;;;;;;;;
54A;16:40;retour;;;hiver;;;;;;;;
54A;18:20;retour;;;hiver;;;;;;;;
54A;22:10;retour;;;hiver;;;;;;;;
54B(Mourouj5 vers Centre de traumatologie et des grands brulés);08:10;aller;06:40;aller;hiver;;;;;;;;
54B;09:10;aller;07:40;aller;hiver;;;;;;;;
54B;10:10;aller;08:40;aller;hiver;;;;;;;;
54B;11:10;aller;09:40;aller;hiver;;;;;;;;
54B;12:10;aller;10:40;aller;hiver;;;;;;;;
54B;13:10;aller;11:40;aller;hiver;;;;;;;;
54B;14:10;aller;12:40;aller;hiver;;;;;;;;
54B;15:10;aller;13:40;aller;hiver;;;;;;;;
54B;16:10;aller;14:40;aller;hiver;;;;;;;;
54B;17:10;aller;15:40;aller;hiver;;;;;;;;
54B;18:10;aller;16:40;aller;hiver;;;;;;;;
54B;19:10;aller;17:40;aller;hiver;;;;;;;;
54B;07:40;retour;18:40;aller;hiver;;;;;;;;
54B;08:40;retour;07:10;retour;hiver;;;;;;;;
54B;09:40;retour;08:10;retour;hiver;;;;;;;;
54B;10:40;retour;09:10;retour;hiver;;;;;;;;
54B;11:40;retour;10:10;retour;hiver;;;;;;;;
54B;12:40;retour;11:10;retour;hiver;;;;;;;;
54B;13:40;retour;12:10;retour;hiver;;;;;;;;
54B;14:40;retour;13:10;retour;hiver;;;;;;;;
54B;15:40;retour;14:10;retour;hiver;;;;;;;;
54B;16:40;retour;15:10;retour;hiver;;;;;;;;
54B;17:40;retour;16:10;retour;hiver;;;;;;;;
54B;18:35;retour;17:10;retour;hiver;;;;;;;;
54B;;;18:10;retour;hiver;;;;;;;;
54B;;;19:10;retour;hiver;;;;;;;;
59A(Barcelone vers Mourouj1);07:00;aller;06:30;aller;hiver;;;;;;;;
59A;07:40;aller;07:30;aller;hiver;;;;;;;;
59A;08:10;aller;08:30;aller;hiver;;;;;;;;
59A;09:10;aller;09:30;aller;hiver;;;;;;;;
59A;09:40;aller;10:30;aller;hiver;;;;;;;;
59A;10:30;aller;11:30;aller;hiver;;;;;;;;
59A;11:10;aller;12:30;aller;hiver;;;;;;;;
59A;12:00;aller;13:30;aller;hiver;;;;;;;;
59A;12:40;aller;14:30;aller;hiver;;;;;;;;
59A;13:30;aller;15:30;aller;hiver;;;;;;;;
59A;14:00;aller;16:30;aller;hiver;;;;;;;;
59A;14:50;aller;17:30;aller;hiver;;;;;;;;
59A;15:20;aller;18:30;aller;hiver;;;;;;;;
59A;16:10;aller;19:30;aller;hiver;;;;;;;;
59A;16:40;aller;20:30;aller;hiver;;;;;;;;
59A;17:30;aller;06:00;retour;hiver;;;;;;;;
59A;18:00;aller;07:00;retour;hiver;;;;;;;;
59A;18:50;aller;08:00;retour;hiver;;;;;;;;
59A;19:20;aller;09:00;retour;hiver;;;;;;;;
59A;20:00;aller;10:00;retour;hiver;;;;;;;;
59A;06:30;retour;11:00;retour;hiver;;;;;;;;
59A;07:00;retour;12:00;retour;hiver;;;;;;;;
59A;07:30;retour;13:00;retour;hiver;;;;;;;;
59A;08:20;retour;14:00;retour;hiver;;;;;;;;
59A;08:50;retour;15:00;retour;hiver;;;;;;;;
59A;09:50;retour;16:00;retour;hiver;;;;;;;;
59A;10:20;retour;17:00;retour;hiver;;;;;;;;
59A;11:10;retour;18:00;retour;hiver;;;;;;;;
59A;12:00;retour;19:00;retour;hiver;;;;;;;;
59A;12:50;retour;20:00;retour;hiver;;;;;;;;
59A;13:25;retour;;;hiver;;;;;;;;
59A;14:10;retour;;;hiver;;;;;;;;
59A;14:40;retour;;;hiver;;;;;;;;
59A;15:30;retour;;;hiver;;;;;;;;
59A;16:00;retour;;;hiver;;;;;;;;
59A;16:50;retour;;;hiver;;;;;;;;
59A;17:20;retour;;;hiver;;;;;;;;
59A;18:10;retour;;;hiver;;;;;;;;
59A;18:40;retour;;;hiver;;;;;;;;
59A;19:30;retour;;;hiver;;;;;;;;
60(Barcelone vers Ibn Sina);05:30;aller;06:00;aller;hiver;;;;;;;;
60;06:00;aller;07:00;aller;hiver;;;;;;;;
60;06:30;aller;08:00;aller;hiver;;;;;;;;
60;07:00;aller;09:00;aller;hiver;;;;;;;;
60;07:30;aller;10:00;aller;hiver;;;;;;;;
60;08:00;aller;11:00;aller;hiver;;;;;;;;
60;08:30;aller;12:00;aller;hiver;;;;;;;;
60;09:00;aller;13:00;aller;hiver;;;;;;;;
60;09:30;aller;14:00;aller;hiver;;;;;;;;
60;09:45;aller;15:00;aller;hiver;;;;;;;;
60;10:00;aller;16:00;aller;hiver;;;;;;;;
60;10:30;aller;17:00;aller;hiver;;;;;;;;
60;10:45;aller;18:00;aller;hiver;;;;;;;;
60;11:00;aller;18:40;aller;hiver;;;;;;;;
60;11:30;aller;19:40;aller;hiver;;;;;;;;
60;11:45;aller;20:40;aller;hiver;;;;;;;;
60;12:00;aller;21:40;aller;hiver;;;;;;;;
60;12:30;aller;22:40;aller;hiver;;;;;;;;
60;12:45;aller;05:30;retour;hiver;;;;;;;;
60;13:00;aller;06:30;retour;hiver;;;;;;;;
60;13:30;aller;07:30;retour;hiver;;;;;;;;
60;13:45;aller;08:30;retour;hiver;;;;;;;;
60;14:00;aller;09:30;retour;hiver;;;;;;;;
60;14:30;aller;10:30;retour;hiver;;;;;;;;
60;14:45;aller;11:30;retour;hiver;;;;;;;;
60;15:00;aller;12:30;retour;hiver;;;;;;;;
60;15:30;aller;13:30;retour;hiver;;;;;;;;
60;15:45;aller;14:30;retour;hiver;;;;;;;;
60;16:00;aller;15:30;retour;hiver;;;;;;;;
60;16:30;aller;16:30;retour;hiver;;;;;;;;
60;17:00;aller;17:30;retour;hiver;;;;;;;;
60;17:30;aller;19:10;retour;hiver;;;;;;;;
60;18:00;aller;20:10;retour;hiver;;;;;;;;
60;18:30;aller;21:10;retour;hiver;;;;;;;;
60;19:00;aller;22:10;retour;hiver;;;;;;;;
60;19:30;aller;;;hiver;;;;;;;;
60;20:30;aller;;;hiver;;;;;;;;
60;21:30;aller;;;hiver;;;;;;;;
60;22:30;aller;;;hiver;;;;;;;;
60;05:00;retour;;;hiver;;;;;;;;
60;05:30;retour;;;hiver;;;;;;;;
60;06:00;retour;;;hiver;;;;;;;;
60;06:30;retour;;;hiver;;;;;;;;
60;07:00;retour;;;hiver;;;;;;;;
60;07:30;retour;;;hiver;;;;;;;;
60;08:00;retour;;;hiver;;;;;;;;
60;08:30;retour;;;hiver;;;;;;;;
60;09:00;retour;;;hiver;;;;;;;;
60;09:15;retour;;;hiver;;;;;;;;
60;09:30;retour;;;hiver;;;;;;;;
60;10:00;retour;;;hiver;;;;;;;;
60;10:15;retour;;;hiver;;;;;;;;
60;10:30;retour;;;hiver;;;;;;;;
60;11:00;retour;;;hiver;;;;;;;;
60;11:15;retour;;;hiver;;;;;;;;
60;11:30;retour;;;hiver;;;;;;;;
60;12:00;retour;;;hiver;;;;;;;;
60;12:15;retour;;;hiver;;;;;;;;
60;12:30;retour;;;hiver;;;;;;;;
60;13:00;retour;;;hiver;;;;;;;;
60;13:15;retour;;;hiver;;;;;;;;
60;13:30;retour;;;hiver;;;;;;;;
60;14:00;retour;;;hiver;;;;;;;;
60;14:15;retour;;;hiver;;;;;;;;
60;14:30;retour;;;hiver;;;;;;;;
60;15:00;retour;;;hiver;;;;;;;;
60;15:15;retour;;;hiver;;;;;;;;
60;15:30;retour;;;hiver;;;;;;;;
60;16:00;retour;;;hiver;;;;;;;;
60;16:30;retour;;;hiver;;;;;;;;
60;17:00;retour;;;hiver;;;;;;;;
60;17:30;retour;;;hiver;;;;;;;;
60;18:00;retour;;;hiver;;;;;;;;
60;18:30;retour;;;hiver;;;;;;;;
60;19:00;retour;;;hiver;;;;;;;;
60;19:30;retour;;;hiver;;;;;;;;
60;21:00;retour;;;hiver;;;;;;;;
60;22:00;retour;;;hiver;;;;;;;;
74(Tunis Marine vers Mourouj5);06:40;aller;;;hiver;;;;;;;;
74;08:20;aller;;;hiver;;;;;;;;
74;10:00;aller;;;hiver;;;;;;;;
74;10:35;aller;;;hiver;;;;;;;;
74;11:40;aller;;;hiver;;;;;;;;
74;12:15;aller;;;hiver;;;;;;;;
74;14:20;aller;;;hiver;;;;;;;;
74;16:00;aller;;;hiver;;;;;;;;
74;17:40;aller;;;hiver;;;;;;;;
74;19:10;aller;;;hiver;;;;;;;;
74;05:50;retour;;;hiver;;;;;;;;
74;07:30;retour;;;hiver;;;;;;;;
74;09:10;retour;;;hiver;;;;;;;;
74;09:30;retour;;;hiver;;;;;;;;
74;09:45;retour;;;hiver;;;;;;;;
74;10:50;retour;;;hiver;;;;;;;;
74;11:25;retour;;;hiver;;;;;;;;
74;13:30;retour;;;hiver;;;;;;;;
74;15:10;retour;;;hiver;;;;;;;;
74;16:50;retour;;;hiver;;;;;;;;
74;18:30;retour;;;hiver;;;;;;;;
75 (Barcelone vers Boumhel El Bassatine);06:30;aller;09:00;aller;hiver;;;;;;;;
75;07:30;aller;10:40;aller;hiver;;;;;;;;
75;08:30;aller;12:20;aller;hiver;;;;;;;;
75;09:30;aller;14:00;aller;hiver;;;;;;;;
75;10:30;aller;15:40;aller;hiver;;;;;;;;
75;11:30;aller;17:20;aller;hiver;;;;;;;;
75;12:30;aller;19:00;aller;hiver;;;;;;;;
75;13:30;aller;21:00;aller;hiver;;;;;;;;
75;14:30;aller;08:10;retour;hiver;;;;;;;;
75;15:30;aller;09:50;retour;hiver;;;;;;;;
75;16:30;aller;11:30;retour;hiver;;;;;;;;
75;17:30;aller;13:10;retour;hiver;;;;;;;;
75;18:30;aller;14:50;retour;hiver;;;;;;;;
75;19:30;aller;16:30;retour;hiver;;;;;;;;
75;05:30;retour;18:10;retour;hiver;;;;;;;;
75;06:30;retour;19:50;retour;hiver;;;;;;;;
75;07:20;retour;;;hiver;;;;;;;;
75;08:30;retour;;;hiver;;;;;;;;
75;09:30;retour;;;hiver;;;;;;;;
75;10:30;retour;;;hiver;;;;;;;;
75;11:30;retour;;;hiver;;;;;;;;
75;12:30;retour;;;hiver;;;;;;;;
75;13:30;retour;;;hiver;;;;;;;;
75;14:30;retour;;;hiver;;;;;;;;
75;15:30;retour;;;hiver;;;;;;;;
75;16:30;retour;;;hiver;;;;;;;;
75;17:30;retour;;;hiver;;;;;;;;
75;18:30;retour;;;hiver;;;;;;;;
82(Barcelone vers  Boumhel El Bassatine par GP1 );06:00;aller;;;hiver;;;;;;;;
82;07:00;aller;;;hiver;;;;;;;;
82;08:00;aller;;;hiver;;;;;;;;
82;09:00;aller;;;hiver;;;;;;;;
82;10:00;aller;;;hiver;;;;;;;;
82;11:00;aller;;;hiver;;;;;;;;
82;12:00;aller;;;hiver;;;;;;;;
82;13:00;aller;;;hiver;;;;;;;;
82;14:00;aller;;;hiver;;;;;;;;
82;15:00;aller;;;hiver;;;;;;;;
82;16:00;aller;;;hiver;;;;;;;;
82;17:00;aller;;;hiver;;;;;;;;
82;18:00;aller;;;hiver;;;;;;;;
82;19:00;aller;;;hiver;;;;;;;;
82;05:10;retour;;;hiver;;;;;;;;
82;06:10;retour;;;hiver;;;;;;;;
82;06:50;retour;;;hiver;;;;;;;;
82;08:00;retour;;;hiver;;;;;;;;
82;09:00;retour;;;hiver;;;;;;;;
82;10:00;retour;;;hiver;;;;;;;;
82;11:00;retour;;;hiver;;;;;;;;
82;12:00;retour;;;hiver;;;;;;;;
82;13:00;retour;;;hiver;;;;;;;;
82;14:00;retour;;;hiver;;;;;;;;
82;15:00;retour;;;hiver;;;;;;;;
82;16:00;retour;;;hiver;;;;;;;;
82;17:00;retour;;;hiver;;;;;;;;
82;18:00;retour;;;hiver;;;;;;;;
82;19:00;retour;;;hiver;;;;;;;;
81B( Terminus Métro 6 vers Mourouj5);04:10;aller;04:20;aller;hiver;;;;;;;;
81B;04:45;aller;04:30;aller;hiver;;;;;;;;
81B;05:00;aller;04:40;aller;hiver;;;;;;;;
81B;05:25;aller;04:50;aller;hiver;;;;;;;;
81B;05:40;aller;05:00;aller;hiver;;;;;;;;
81B;06:05;aller;05:10;aller;hiver;;;;;;;;
81B;06:20;aller;05:20;aller;hiver;;;;;;;;
81B;06:45;aller;05:30;aller;hiver;;;;;;;;
81B;07:00;aller;05:40;aller;hiver;;;;;;;;
81B;07:25;aller;05:50;aller;hiver;;;;;;;;
81B;07:40;aller;06:00;aller;hiver;;;;;;;;
81B;08:05;aller;06:10;aller;hiver;;;;;;;;
81B;08:20;aller;06:20;aller;hiver;;;;;;;;
81B;08:45;aller;06:30;aller;hiver;;;;;;;;
81B;09:00;aller;06:40;aller;hiver;;;;;;;;
81B;09:25;aller;06:50;aller;hiver;;;;;;;;
81B;09:40;aller;07:00;aller;hiver;;;;;;;;
81B;10:05;aller;07:10;aller;hiver;;;;;;;;
81B;10:20;aller;07:20;aller;hiver;;;;;;;;
81B;10:45;aller;07:30;aller;hiver;;;;;;;;
81B;11:25;aller;07:40;aller;hiver;;;;;;;;
81B;12:05;aller;07:50;aller;hiver;;;;;;;;
81B;12:20;aller;08:00;aller;hiver;;;;;;;;
81B;12:45;aller;08:10;aller;hiver;;;;;;;;
81B;13:00;aller;08:20;aller;hiver;;;;;;;;
81B;13:25;aller;08:30;aller;hiver;;;;;;;;
81B;13:40;aller;08:40;aller;hiver;;;;;;;;
81B;14:05;aller;08:50;aller;hiver;;;;;;;;
81B;14:20;aller;09:00;aller;hiver;;;;;;;;
81B;14:45;aller;09:10;aller;hiver;;;;;;;;
81B;15:00;aller;09:20;aller;hiver;;;;;;;;
81B;15:25;aller;09:30;aller;hiver;;;;;;;;
81B;15:40;aller;09:40;aller;hiver;;;;;;;;
81B;16:05;aller;09:50;aller;hiver;;;;;;;;
81B;16:20;aller;10:00;aller;hiver;;;;;;;;
81B;16:45;aller;10:10;aller;hiver;;;;;;;;
81B;17:00;aller;10:20;aller;hiver;;;;;;;;
81B;17:40;aller;10:30;aller;hiver;;;;;;;;
81B;18:20;aller;10:40;aller;hiver;;;;;;;;
81B;19:00;aller;10:50;aller;hiver;;;;;;;;
81B;19:30;aller;11:00;aller;hiver;;;;;;;;
81B;20:15;aller;11:10;aller;hiver;;;;;;;;
81B;20:45;aller;11:20;aller;hiver;;;;;;;;
81B;21:25;aller;11:30;aller;hiver;;;;;;;;
81B;21:55;aller;11:40;aller;hiver;;;;;;;;
81B;22:25;aller;11:50;aller;hiver;;;;;;;;
81B;22:55;aller;12:00;aller;hiver;;;;;;;;
81B;23:30;aller;12:10;aller;hiver;;;;;;;;
81B;04:30;retour;12:20;aller;hiver;;;;;;;;
81B;05:05;retour;12:30;aller;hiver;;;;;;;;
81B;05:20;retour;12:40;aller;hiver;;;;;;;;
81B;05:45;retour;12:50;aller;hiver;;;;;;;;
81B;06:00;retour;13:00;aller;hiver;;;;;;;;
81B;06:25;retour;13:10;aller;hiver;;;;;;;;
81B;06:40;retour;13:20;aller;hiver;;;;;;;;
81B;07:05;retour;13:30;aller;hiver;;;;;;;;
81B;07:20;retour;13:40;aller;hiver;;;;;;;;
81B;07:45;retour;13:50;aller;hiver;;;;;;;;
81B;08:00;retour;14:00;aller;hiver;;;;;;;;
81B;08:25;retour;14:10;aller;hiver;;;;;;;;
81B;08:40;retour;14:20;aller;hiver;;;;;;;;
81B;09:05;retour;14:30;aller;hiver;;;;;;;;
81B;09:20;retour;14:40;aller;hiver;;;;;;;;
81B;09:45;retour;14:50;aller;hiver;;;;;;;;
81B;10:00;retour;15:00;aller;hiver;;;;;;;;
81B;10:30;retour;15:10;aller;hiver;;;;;;;;
81B;10:45;retour;15:20;aller;hiver;;;;;;;;
81B;11:05;retour;15:30;aller;hiver;;;;;;;;
81B;11:45;retour;15:40;aller;hiver;;;;;;;;
81B;12:25;retour;15:50;aller;hiver;;;;;;;;
81B;12:40;retour;16:00;aller;hiver;;;;;;;;
81B;13:05;retour;16:10;aller;hiver;;;;;;;;
81B;13:20;retour;16:20;aller;hiver;;;;;;;;
81B;13:45;retour;16:30;aller;hiver;;;;;;;;
81B;14:00;retour;16:40;aller;hiver;;;;;;;;
81B;14:25;retour;16:50;aller;hiver;;;;;;;;
81B;14:40;retour;17:00;aller;hiver;;;;;;;;
81B;15:05;retour;17:10;aller;hiver;;;;;;;;
81B;15:20;retour;17:20;aller;hiver;;;;;;;;
81B;15:45;retour;17:30;aller;hiver;;;;;;;;
81B;16:00;retour;17:40;aller;hiver;;;;;;;;
81B;16:25;retour;17:50;aller;hiver;;;;;;;;
81B;16:40;retour;18:00;aller;hiver;;;;;;;;
81B;17:05;retour;18:10;aller;hiver;;;;;;;;
81B;17:20;retour;18:20;aller;hiver;;;;;;;;
81B;18:00;retour;18:30;aller;hiver;;;;;;;;
81B;18:40;retour;18:40;aller;hiver;;;;;;;;
81B;19:05;retour;18:50;aller;hiver;;;;;;;;
81B;19:50;retour;19:00;aller;hiver;;;;;;;;
81B;20:30;retour;19:10;aller;hiver;;;;;;;;
81B;21:05;retour;19:20;aller;hiver;;;;;;;;
81B;21:40;retour;19:40;aller;hiver;;;;;;;;
81B;22:10;retour;20:05;aller;hiver;;;;;;;;
81B;22:40;retour;20:25;aller;hiver;;;;;;;;
81B;23:10;retour;20:45;aller;hiver;;;;;;;;
81B;23:50;retour;21:05;aller;hiver;;;;;;;;
81B;;;21:40;aller;hiver;;;;;;;;
81B;;;22:15;aller;hiver;;;;;;;;
81B;;;22:50;aller;hiver;;;;;;;;
81B;;;23:25;aller;hiver;;;;;;;;
81B;;;00:00;aller;hiver;;;;;;;;
81B;;;04:10;retour;hiver;;;;;;;;
81B;;;04:20;retour;hiver;;;;;;;;
81B;;;04:30;retour;hiver;;;;;;;;
81B;;;04:40;retour;hiver;;;;;;;;
81B;;;04:50;retour;hiver;;;;;;;;
81B;;;05:00;retour;hiver;;;;;;;;
81B;;;05:10;retour;hiver;;;;;;;;
81B;;;05:20;retour;hiver;;;;;;;;
81B;;;05:30;retour;hiver;;;;;;;;
81B;;;05:40;retour;hiver;;;;;;;;
81B;;;05:50;retour;hiver;;;;;;;;
81B;;;06:00;retour;hiver;;;;;;;;
81B;;;06:10;retour;hiver;;;;;;;;
81B;;;06:20;retour;hiver;;;;;;;;
81B;;;06:30;retour;hiver;;;;;;;;
81B;;;06:40;retour;hiver;;;;;;;;
81B;;;06:50;retour;hiver;;;;;;;;
81B;;;07:00;retour;hiver;;;;;;;;
81B;;;07:10;retour;hiver;;;;;;;;
81B;;;07:20;retour;hiver;;;;;;;;
81B;;;07:30;retour;hiver;;;;;;;;
81B;;;07:40;retour;hiver;;;;;;;;
81B;;;07:50;retour;hiver;;;;;;;;
81B;;;08:00;retour;hiver;;;;;;;;
81B;;;08:10;retour;hiver;;;;;;;;
81B;;;08:20;retour;hiver;;;;;;;;
81B;;;08:30;retour;hiver;;;;;;;;
81B;;;08:40;retour;hiver;;;;;;;;
81B;;;08:50;retour;hiver;;;;;;;;
81B;;;09:00;retour;hiver;;;;;;;;
81B;;;09:10;retour;hiver;;;;;;;;
81B;;;09:20;retour;hiver;;;;;;;;
81B;;;09:30;retour;hiver;;;;;;;;
81B;;;09:40;retour;hiver;;;;;;;;
81B;;;09:50;retour;hiver;;;;;;;;
81B;;;10:00;retour;hiver;;;;;;;;
81B;;;10:10;retour;hiver;;;;;;;;
81B;;;10:20;retour;hiver;;;;;;;;
81B;;;10:30;retour;hiver;;;;;;;;
81B;;;10:40;retour;hiver;;;;;;;;
81B;;;10:50;retour;hiver;;;;;;;;
81B;;;11:00;retour;hiver;;;;;;;;
81B;;;11:10;retour;hiver;;;;;;;;
81B;;;11:20;retour;hiver;;;;;;;;
81B;;;11:30;retour;hiver;;;;;;;;
81B;;;11:40;retour;hiver;;;;;;;;
81B;;;11:50;retour;hiver;;;;;;;;
81B;;;12:00;retour;hiver;;;;;;;;
81B;;;12:10;retour;hiver;;;;;;;;
81B;;;12:20;retour;hiver;;;;;;;;
81B;;;12:30;retour;hiver;;;;;;;;
81B;;;12:40;retour;hiver;;;;;;;;
81B;;;12:50;retour;hiver;;;;;;;;
81B;;;13:00;retour;hiver;;;;;;;;
81B;;;13:10;retour;hiver;;;;;;;;
81B;;;13:20;retour;hiver;;;;;;;;
81B;;;13:30;retour;hiver;;;;;;;;
81B;;;13:40;retour;hiver;;;;;;;;
81B;;;13:50;retour;hiver;;;;;;;;
81B;;;14:00;retour;hiver;;;;;;;;
81B;;;14:10;retour;hiver;;;;;;;;
81B;;;14:20;retour;hiver;;;;;;;;
81B;;;14:30;retour;hiver;;;;;;;;
81B;;;14:40;retour;hiver;;;;;;;;
81B;;;14:50;retour;hiver;;;;;;;;
81B;;;15:00;retour;hiver;;;;;;;;
81B;;;15:10;retour;hiver;;;;;;;;
81B;;;15:20;retour;hiver;;;;;;;;
81B;;;15:30;retour;hiver;;;;;;;;
81B;;;15:40;retour;hiver;;;;;;;;
81B;;;15:50;retour;hiver;;;;;;;;
81B;;;16:00;retour;hiver;;;;;;;;
81B;;;16:10;retour;hiver;;;;;;;;
81B;;;16:20;retour;hiver;;;;;;;;
81B;;;16:30;retour;hiver;;;;;;;;
81B;;;16:40;retour;hiver;;;;;;;;
81B;;;16:50;retour;hiver;;;;;;;;
81B;;;17:00;retour;hiver;;;;;;;;
81B;;;17:10;retour;hiver;;;;;;;;
81B;;;17:20;retour;hiver;;;;;;;;
81B;;;17:30;retour;hiver;;;;;;;;
81B;;;17:40;retour;hiver;;;;;;;;
81B;;;17:50;retour;hiver;;;;;;;;
81B;;;18:00;retour;hiver;;;;;;;;
81B;;;18:10;retour;hiver;;;;;;;;
81B;;;18:20;retour;hiver;;;;;;;;
81B;;;18:30;retour;hiver;;;;;;;;
81B;;;18:40;retour;hiver;;;;;;;;
81B;;;18:50;retour;hiver;;;;;;;;
81B;;;19:00;retour;hiver;;;;;;;;
81B;;;19:10;retour;hiver;;;;;;;;
81B;;;19:30;retour;hiver;;;;;;;;
81B;;;19:50;retour;hiver;;;;;;;;
81B;;;20:15;retour;hiver;;;;;;;;
81B;;;20:35;retour;hiver;;;;;;;;
81B;;;20:55;retour;hiver;;;;;;;;
81B;;;21:20;retour;hiver;;;;;;;;
81B;;;21:55;retour;hiver;;;;;;;;
81B;;;22:30;retour;hiver;;;;;;;;
81B;;;23:05;retour;hiver;;;;;;;;
81B;;;23:40;retour;hiver;;;;;;;;
81A( Lycée Mourouj6 vers Mourouj5);06:40;aller;;;hiver;;;;;;;;
81A;07:40;aller;;;hiver;;;;;;;;
81A;08:40;aller;;;hiver;;;;;;;;
81A;09:40;aller;;;hiver;;;;;;;;
81A;10:40;aller;;;hiver;;;;;;;;
81A;11:40;aller;;;hiver;;;;;;;;
81A;11:40;aller;;;hiver;;;;;;;;
81A;13:40;aller;;;hiver;;;;;;;;
81A;14:40;aller;;;hiver;;;;;;;;
81A;15:40;aller;;;hiver;;;;;;;;
81A;16:40;aller;;;hiver;;;;;;;;
81A;17:40;aller;;;hiver;;;;;;;;
81A;18:40;aller;;;hiver;;;;;;;;
81A;06:10;retour;;;hiver;;;;;;;;
81A;07:10;retour;;;hiver;;;;;;;;
81A;08:10;retour;;;hiver;;;;;;;;
81A;09:10;retour;;;hiver;;;;;;;;
81A;10:10;retour;;;hiver;;;;;;;;
81A;11:10;retour;;;hiver;;;;;;;;
81A;12:10;retour;;;hiver;;;;;;;;
81A;13:10;retour;;;hiver;;;;;;;;
81A;14:10;retour;;;hiver;;;;;;;;
81A;15:10;retour;;;hiver;;;;;;;;
81A;16:10;retour;;;hiver;;;;;;;;
81A;17:10;retour;;;hiver;;;;;;;;
81A;18:10;retour;;;hiver;;;;;;;;
84( Aerolia 1 vers Cité Trabelsi );05:20;aller;;;hiver;;;;;;;;
84;06:55;aller;;;hiver;;;;;;;;
84;07:40;aller;;;hiver;;;;;;;;
84;08:10;aller;;;hiver;;;;;;;;
84;14:40;aller;;;hiver;;;;;;;;
84;15:20;aller;;;hiver;;;;;;;;
84;16:30;aller;;;hiver;;;;;;;;
84;17:10;aller;;;hiver;;;;;;;;
84;06:10;retour;;;hiver;;;;;;;;
