Endroit,Nom_artiste,Titre,Type_d_exposition,Type_de_galerie,Prix,Prix_Total
,محمد المالكي ,souvenir d’enfance ,جماعي,عمومي,8750,
,ماجد زليلة ,le micro d’or ,جماعي,عمومي,6000,
,محمد بوعزيز ,nostalgie ,جماعي,عمومي,5200,
,ليلى السهيلي ,بلا عنوان,جماعي,عمومي,5500,
,سعاد المهبولي ,renaissance ,جماعي,عمومي,3000,
,ليندا عبد اللطيف ,confi-noir ,جماعي,عمومي,7000,
,اسيا عروس ,mirage ,جماعي,عمومي,1600,
,سلمى السماوي ,les visages de la verité ,جماعي,عمومي,2800,
,يسر الجموسي ,vinus ,جماعي,عمومي,6500,
,زينب التليلي ,اولاد الحلفاوين ,جماعي,عمومي,1800,
,ضحى العيادي ,الذاكرة ,جماعي,عمومي,1800,
,لمياء المكي ,ecolosion 3,جماعي,عمومي,3500,
,عبد الرؤوف ليسير ,giraffe jaune ,جماعي,عمومي,4000,
,سارة بن عطية ,les trois anges ,جماعي,عمومي,4000,
,أحلام اللمسي ,emergence 2 ,جماعي,عمومي,2800,
,جازية تواجوتي ,vision ,جماعي,عمومي,1500,
,فردوس شماخ,traces ,جماعي,عمومي,1500,
,حبيب بيدة,بهلوانيات ,فردي,عمومي,9000,
,منى شوك,Horizon ,جماعي,عمومي,3900,
,عايدة كشو,Jardin Archéologique ,جماعي,عمومي,4000,
,سامي سحلي,Résistance pour la paix ,جماعي,عمومي,8000,
,عبد الستار فجي,Check mate,جماعي,عمومي,3000,
,محمد بن عبدالله,Jeux de carré,جماعي,عمومي,2200,
,سيرين بوعزيز,S T ,جماعي,عمومي,900,
فضاء التيارو ,كريم كمون ,points,فردي,عمومي,2800,2800
رواق دادا ,رانية خليفة ,دقيقتين ,جماعي,خاص,400,3350
,صفوان جلول ,ecoulement ,جماعي,خاص,600,
,مهدي بن غربية ,géométrie-3,جماعي,خاص,1000,
,زكريا الشابي ,alea-2,جماعي,خاص,1000,
,غسان عسكري ,lui ,جماعي,خاص,350,
النادي الثقافي الطاهر الحداد ,ريم بالشيخ ,cercle sacré des venusettes,جماعي,عمومي,4000,40100
,توفيق القرقني ,la foule 02 ,جماعي,عمومي,2500,
,مصطفى الدنقزلي ,ame perdue ,جماعي,عمومي,2500,
,أنور سفطة ,rose des vents ,جماعي,عمومي,4000,
,مروى بن حليمة ,délire 3,جماعي,عمومي,1800,
,هيفاء المديوني ,noir sur noir ,فردي,عمومي,1400,
,منير بن موسى ,بدون عنوان ,فردي,عمومي,7000,
,حذامي سلطان,harmonie ,جماعي,عمومي,4000,
,بلال قرايني,أطماع,فردي,عمومي,"1200
",
,سندة الماجري,Ecorce Tatoué,جماعي,عمومي,3200,
,ماهر رباح,"1,2,3",جماعي,عمومي,1800,
,قيس  متهمم,Transparene ,جماعي,عمومي,1800,
,صفاء شعبان,The Hacker,جماعي,عمومي,2200,
,صلاح الدين حبورية,Behind The Border ,جماعي,عمومي,2800,
,سناء بن حمودة,Le Physique,جماعي,عمومي,1100,
رواق الكسندر روبتسوف ,سنية سعيد ,le récite bleu ,فردي,خاص,4500,29500
,صابرين شاوش ,transcendance ,فردي,عمومي,3500,
,وسام العابد ,acrobate ,فردي,خاص,2500,
,طاهر مقدميني ,corps en emotion 4,جماعي,خاص,12000,
,وسام بن حسين ,des réves 1,جماعي,خاص,4500,
,شهرزاد الفقيه ,royon x d'un ange ,جماعي,خاص,2500,
المركب الثقافي نيابوليس بنابل,لسعد لصطى,بدون عنوان,جماعي,عمومي,800,8700
,عبد العزيز كريد,Murale,جماعي,عمومي,3500,
,رجاء زربوط,Qui se ressemble,جماعي,عمومي,1200,
,منى صيود,فضا-ليف2,جماعي,عمومي,800,
,النوبي عزيز,Le parrain,جماعي,عمومي,1400,
,حسني بكاري,Rétro viseur,جماعي,عمومي,1000,
دار الثقافة نابل,  رياض بالحاج احمد ,وجوه يومئذ,فردي,عمومي,4800,9300
,نهلة الوسلاتي,Installation - Cara - Presse 1,فردي,عمومي,4500,
دار الكتب الوطنية ,اسامة الطرودي ,tete de mars ,جماعي,عمومي,2500,16800
,اميرة الحمامي ,atterrissage ,جماعي,عمومي,1700,
,نجاة الذهبي ,يوميات فنانة مغصورة ,جماعي,عمومي,7000,
,نور الدين جقيرم ,chorégraphie épico lyrique ,جماعي,عمومي,4000,
,ذكريات بن عبد القادر ,touche matinal ,جماعي,عمومي,350,
,سحر العشي ,fenetres ,جماعي,عمومي,550,
,نضال بالشيخ ,houwa 2,جماعي,عمومي,700,
دار الثقافة إبن رشيق ,أمال بن صالح زعيم ,حالة حرجة ,فردي,عمومي,5000,5000
مركز الفنون الحية رادس ,عمر بسيس ,قرعة 1 ,جماعي,عمومي,2500,21650
,عدنان الحاج ساسي ,37 et demi,جماعي,عمومي,8000,
,نادر بوكادي,Lettre d’un prince de guerre ,جماعي,عمومي,3000,
,حليم كارابيبان ,La nuit des jumeaux ,جماعي,عمومي,1650,
,نادية الجلاصي ,Paysage de l'art,جماعي,عمومي,6500,
دار الجمعيات بنابل,إبراهيم النبهان,نسيج حر,فردي,عمومي,3400,3400
رواق البيرو,سمير بن قويعة,بدون عنوان,جماعي,خاص,1200,1200
