Gouvernorats;NB;Localisation;Spécialité;"Date de Création"
Ariana;50;"Salle de handball aziz tej";"Hand Ball";2015
"Ben Arous";53;Megrine;"Multi displine";1988
"Ben Arous";57;"Hammem lief";"Salle de Boxe";2006
"Ben Arous";58;"Rades Centre intégré";"Salle de wrestling";2001
"Ben Arous";62;Morneg;"Salle de wrestling";2006
"Ben Arous";66;"Hammem el chott";"Salle d'entrainnement de sports Collectifs";2013
Mannouba;70;"Ouad el lil";"Salle de Gido";2006
Mannouba;74;"Tborba cité el nassime";"Sports défensifs";2011
"Sous Total (Mannouba)";;10;;
Nabeul;82;"dar chaaben";"basket ball";1987
Nabeul;87;Grombelia;"Multi displine";2000
Nabeul;91;"centre de formation des athlétes  klibia";Volley-ball;2012
Nabeul;95;"Salle Slimen";"Multi displine";
Zaghouan;98;"El nadhour";"jeux individuels";2015
Bizerte;101;Bizerte;"Multi displine";1995
Bizerte;106;Mateur;"Boxe et entrainnement";2002
Bizerte;110;Bizerte;"Salle escrime avec épée";2014
Béja;114;Béja;"Multi displine";1992
Béja;118;"Béja(el khadhra)";Karaté;2009
Jandouba;121;Jandouba;"Multi displine";1985
Jandouba;122;AinDrahem;"Multi displine";1994
Jandouba;126;"Salle Bouselem";"Multi displine";
"El Kéf";129;"Cité el Zitouna";Gido;2010
"El Kéf";134;"Salle gymnase à l'institut superieur de sport";Gymnase;2016
Siliana;137;Siliana;"Multi displine";1992
Siliana;142;"Salle Gymnasse à Siliana";Gymnasse;2017
Sousse;145;"Cité el suisse";"Hand Ball";2002
Sousse;150;"Bouhssine nord";"salle d'entrainnement pour les sports collectifs";2012
Monastir;153;Moknine;"Multi displine";1979
Monastir;157;saieda;"Multi displine";2005
Monastir;158;Monastir;"Salle de wrestling";1987
Monastir;162;Tbolba;"Multi displine";2007
Mahdia;165;"Salle d'entrainnement";"Hand Ball";2005
Mahdia;170;"Mahdia Borej arif";"jeux individuels";2016
Sfax;173;akid;"Hand ball et basket ball";1983
Sfax;178;"jardin de sport Sfax";"Salle d'entrainnement  handball et volleyball";2005
Sfax;182;"ouadi Chaabouni";"Jeux individuels";2009
Kairouan;187;"Salle kairaoun";"Multi displine";2005
