annee_scolaire;ordre_CRE;Nom_CRE;Lib_matriere;effectif_enseignants
2021/2022;8; Béja ;Menuiserie métallique;
2021/2022;9; Jendouba ;Menuiserie métallique;
2021/2022;10; Siliana ;Menuiserie métallique;
2021/2022;11; Le Kef ;Menuiserie métallique;
2021/2022;12; Kasserine ;Menuiserie métallique;
2021/2022;13; Sidi Bouzid ;Menuiserie métallique;
2021/2022;14; Gafsa ;Menuiserie métallique;
2021/2022;15; Tozeur ;Menuiserie métallique;
2021/2022;16; Kébili ;Menuiserie métallique;
2021/2022;17; Tataouine ;Menuiserie métallique;
2021/2022;18; Médenine ;Menuiserie métallique;1
2021/2022;19; Gabès ;Menuiserie métallique;
2021/2022;20;Sfax 1;Menuiserie métallique;
2021/2022;21;Sfax 2;Menuiserie métallique;
2021/2022;22; Mahdia ;Menuiserie métallique;
2021/2022;23; Kairouan ;Menuiserie métallique;
2021/2022;24; Monastir ;Menuiserie métallique;
2021/2022;25; Sousse ;Menuiserie métallique;
2021/2022;26; Nabeul ;Menuiserie métallique;
2021/2022;1;Tunis 1;Commerce et services à distance;3
2021/2022;2;Tunis 2;Commerce et services à distance;
2021/2022;3; Ariana ;Commerce et services à distance;4
2021/2022;4; Mannouba ;Commerce et services à distance;2
2021/2022;5; Ben Arous ;Commerce et services à distance;3
2021/2022;6; Zaghouan ;Commerce et services à distance;
2021/2022;7; Bizerte ;Commerce et services à distance;3
2021/2022;8; Béja ;Commerce et services à distance;4
2021/2022;9; Jendouba ;Commerce et services à distance;
2021/2022;10; Siliana ;Commerce et services à distance;1
2021/2022;11; Le Kef ;Commerce et services à distance;1
2021/2022;12; Kasserine ;Commerce et services à distance;
2021/2022;13; Sidi Bouzid ;Commerce et services à distance;1
2021/2022;14; Gafsa ;Commerce et services à distance;3
2021/2022;15; Tozeur ;Commerce et services à distance;
2021/2022;16; Kébili ;Commerce et services à distance;1
2021/2022;17; Tataouine ;Commerce et services à distance;1
2021/2022;18; Médenine ;Commerce et services à distance;4
2021/2022;19; Gabès ;Commerce et services à distance;2
2021/2022;20;Sfax 1;Commerce et services à distance;6
2021/2022;21;Sfax 2;Commerce et services à distance;1
2021/2022;22; Mahdia ;Commerce et services à distance;6
2021/2022;23; Kairouan ;Commerce et services à distance;2
2021/2022;24; Monastir ;Commerce et services à distance;8
2021/2022;25; Sousse ;Commerce et services à distance;4
2021/2022;26; Nabeul ;Commerce et services à distance;6
2021/2022;1;Tunis 1;Arts et artisanat;5
2021/2022;2;Tunis 2;Arts et artisanat;
2021/2022;3; Ariana ;Arts et artisanat;
2021/2022;4; Mannouba ;Arts et artisanat;4
2021/2022;5; Ben Arous ;Arts et artisanat;
2021/2022;6; Zaghouan ;Arts et artisanat;
2021/2022;7; Bizerte ;Arts et artisanat;4
2021/2022;8; Béja ;Arts et artisanat;3
2021/2022;9; Jendouba ;Arts et artisanat;
2021/2022;10; Siliana ;Arts et artisanat;1
2021/2022;11; Le Kef ;Arts et artisanat;
2021/2022;12; Kasserine ;Arts et artisanat;
